set,index,formula,n_atoms,mean,max,unseen_element_atoms
rot1 GFN2 MD/normal modes,62,C60H58F14N2O10,144,0.0002790225960222153,0.0015156178363320283,0
rot1 GFN2 MD/normal modes,63,C60H58F14N2O10,144,0.0003942599676780536,0.004810296629596866,0
rot1 GFN2 MD/normal modes,64,C60H58F14N2O10,144,0.0004027410353502263,0.0025752634229337934,0
rot1 GFN2 MD/normal modes,65,C60H58F14N2O10,144,0.00022679944627932574,0.0015238725348223348,0
rot1 GFN2 MD/normal modes,66,C60H58F14N2O10,144,0.0003695625623014716,0.0065242562953410355,0
rot1 GFN2 MD/normal modes,67,C60H58F14N2O10,144,0.000239431023694045,0.0013700358577483085,0
rot1 GFN2 MD/normal modes,68,C60H58F14N2O10,144,0.0003307638161278853,0.002775317741250838,0
rot1 GFN2 MD/normal modes,69,C60H58F14N2O10,144,0.00025763833481854694,0.0011635367628969329,0
rot1 GFN2 MD/normal modes,70,C60H58F14N2O10,144,0.00040687512226631844,0.001732038809167502,0
rot1 GFN2 MD/normal modes,71,C60H58F14N2O10,144,0.000393531144650753,0.005565320495410586,0
rot1 GFN2 MD/normal modes,72,C60H58F14N2O10,144,0.0003654603045632453,0.003195465230944494,0
rot1 GFN2 MD/normal modes,73,C60H58F14N2O10,144,0.0002616461495508289,0.001742472411449869,0
rot1 GFN2 MD/normal modes,74,C60H58F14N2O10,144,0.00032870709041092703,0.0019142553969121456,0
rot1 GFN2 MD/normal modes,75,C60H58F14N2O10,144,0.00028794569580259155,0.0020493411425132058,0
rot1 GFN2 MD/normal modes,76,C60H58F14N2O10,144,0.0002720197444141683,0.0013294221399002826,0
rot1 GFN2 MD/normal modes,77,C60H58F14N2O10,144,0.0002454511934861121,0.0023029465332339294,0
rot1 GFN2 MD/normal modes,78,C60H58F14N2O10,144,0.0002461016968239775,0.0013050150120064163,0
rot1 GFN2 MD/normal modes,79,C60H58F14N2O10,144,0.00023965987161662464,0.0015103197135174495,0
rot1 GFN2 MD/normal modes,80,C60H58F14N2O10,144,0.00032399235355648405,0.002339877627770881,0
rot1 GFN2 MD/normal modes,81,C60H58F14N2O10,144,0.00038760409699626567,0.005303316543754821,0
rot1 GFN2 MD/normal modes,82,C60H58F14N2O10,144,0.00033876295171720596,0.001545068535961036,0
rot1 GFN2 MD/normal modes,83,C60H58F14N2O10,144,0.00028719433995109646,0.001549178082638769,0
rot1 GFN2 MD/normal modes,84,C60H58F14N2O10,144,0.0003341698278610651,0.003562782124101438,0
rot1 GFN2 MD/normal modes,85,C60H58F14N2O10,144,0.00031350515791155054,0.003018057453402001,0
rot1 GFN2 MD/normal modes,86,C60H58F14N2O10,144,0.00036769143362900257,0.002095493934711312,0
rot1 GFN2 MD/normal modes,87,C60H58F14N2O10,144,0.0003783869017753464,0.0030151229043353656,0
rot1 GFN2 MD/normal modes,88,C60H58F14N2O10,144,0.00021399056632436582,0.0013014565646026766,0
rot1 GFN2 MD/normal modes,89,C60H58F14N2O10,144,0.00028256921570327727,0.0014905636077494622,0
rot1 GFN2 MD/normal modes,90,C60H58F14N2O10,144,0.00026980601094130395,0.0015240078165543736,0
rot1 GFN2 MD/normal modes,91,C60H58F14N2O10,144,0.0002757595316999237,0.0018204071208880457,0
rot1 GFN2 MD/normal modes,92,C60H58F14N2O10,144,0.00031425982668887204,0.0023997964471644817,0
rot1 GFN2 MD/normal modes,93,C60H58F14N2O10,144,0.0002601672346019407,0.0012862338988494093,0
rot1 GFN2 MD/normal modes,94,C60H58F14N2O10,144,0.00021864218783905332,0.0012438586768339643,0
rot1 GFN2 MD/normal modes,95,C60H58F14N2O10,144,0.00036699485353253723,0.0018231708832983085,0
rot1 GFN2 MD/normal modes,96,C60H58F14N2O10,144,0.0003235937565648086,0.0017420679366882963,0
rot1 GFN2 MD/normal modes,97,C60H58F14N2O10,144,0.0003053017279614073,0.002170412642198638,0
rot1 GFN2 MD/normal modes,98,C60H58F14N2O10,144,0.00037767992464297445,0.004577923912798876,0
rot1 GFN2 MD/normal modes,99,C60H58F14N2O10,144,0.00022577777478588777,0.001388389617239194,0
rot1 GFN2 MD/normal modes,100,C60H58F14N2O10,144,0.0002997446708111265,0.001368263448863205,0
rot1 GFN2 MD/normal modes,101,C60H58F14N2O10,144,0.0002638381256333078,0.001627685520354416,0
rot1 GFN2 MD/normal modes,102,C60H58F14N2O10,144,0.00039407458713908313,0.004809088052664223,0
rot1 GFN2 MD/normal modes,103,C60H58F14N2O10,144,0.00022375860389108667,0.0012063913437169171,0
rot1 GFN2 MD/normal modes,104,C60H58F14N2O10,144,0.000361260352029959,0.0055726005481747665,0
rot1 GFN2 MD/normal modes,105,C60H58F14N2O10,144,0.0002539240454267822,0.0011741799057338742,0
rot1 GFN2 MD/normal modes,106,C60H58F14N2O10,144,0.0003937727328076539,0.004795199961262209,0
rot1 GFN2 MD/normal modes,107,C60H58F14N2O10,144,0.00026542150102833715,0.0016083109026983067,0
rot1 GFN2 MD/normal modes,108,C60H58F14N2O10,144,0.00027212896174210756,0.0025462067082414608,0
rot1 GFN2 MD/normal modes,109,C60H58F14N2O10,144,0.00032462956261059765,0.002276703375454714,0
rot1 GFN2 MD/normal modes,110,C60H58F14N2O10,144,0.00035212778439352614,0.002810980703731536,0
rot1 GFN2 MD/normal modes,111,C60H58F14N2O10,144,0.00039642159995449525,0.004031458357429463,0
rot1 GFN2 MD/normal modes,112,C60H58F14N2O10,144,0.0003935995845907962,0.004792719792902189,0
rot1 GFN2 MD/normal modes,113,C60H58F14N2O10,144,0.00027508165522876045,0.0014259379818658546,0
rot1 GFN2 MD/normal modes,114,C60H58F14N2O10,144,0.00033071524021971677,0.0020650385202698462,0
rot1 GFN2 MD/normal modes,115,C60H58F14N2O10,144,0.00017463877893701145,0.0011184056030209,0
rot1 GFN2 MD/normal modes,116,C60H58F14N2O10,144,0.00032196031593866644,0.002128036279183676,0
rot1 GFN2 MD/normal modes,117,C60H58F14N2O10,144,0.00020157387786186927,0.001512224077254154,0
rot1 GFN2 MD/normal modes,118,C60H58F14N2O10,144,0.00035561401833991317,0.00244884286595215,0
rot1 GFN2 MD/normal modes,119,C60H58F14N2O10,144,0.00036129349545620097,0.0032552132357976937,0
rot1 GFN2 MD/normal modes,120,C60H58F14N2O10,144,0.0003947386361180905,0.004815381352773596,0
rot1 GFN2 MD/normal modes,121,C60H58F14N2O10,144,0.00037193313396841684,0.002333258873951971,0
rot1 GFN2 MD/normal modes,122,C60H58F14N2O10,144,0.0002181709708255771,0.0013870858918867413,0
rot1 GFN2 MD/normal modes,123,C60H58F14N2O10,144,0.00033351340479348017,0.001727793903791186,0
rot1 GFN2 MD/normal modes,124,C60H58F14N2O10,144,0.0002883191209402268,0.0018839806337892506,0
rot1 GFN2 MD/normal modes,125,C60H58F14N2O10,144,0.0002927148137586803,0.0021445104271434756,0
rot1 GFN2 MD/normal modes,126,C60H58F14N2O10,144,0.00022643933755307148,0.0013190289564397606,0
rot1 GFN2 MD/normal modes,127,C60H58F14N2O10,144,0.000286292268824541,0.0013815605813619625,0
rot1 GFN2 MD/normal modes,128,C60H58F14N2O10,144,0.00035820052827227844,0.0021750948713171736,0
rot1 GFN2 MD/normal modes,129,C60H58F14N2O10,144,0.0002514027377741829,0.0011612904103036614,0
rot1 GFN2 MD/normal modes,130,C60H58F14N2O10,144,0.0002536028526232091,0.0011189806054919815,0
rot1 GFN2 MD/normal modes,131,C60H58F14N2O10,144,0.00032806195999625826,0.002123200442149753,0
rot1 GFN2 MD/normal modes,132,C60H58F14N2O10,144,0.0003663151691830493,0.002138235188093085,0
rot1 GFN2 MD/normal modes,133,C60H58F14N2O10,144,0.00022407624197176337,0.0011656599710140325,0
rot1 GFN2 MD/normal modes,134,C60H58F14N2O10,144,0.0002806194841942199,0.0015605551040004384,0
rot1 GFN2 MD/normal modes,135,C60H58F14N2O10,144,0.00023498534136092645,0.0014391391481590743,0
rot1 GFN2 MD/normal modes,136,C60H58F14N2O10,144,0.00025810179938116597,0.0011428482355413383,0
rot1 GFN2 MD/normal modes,137,C60H58F14N2O10,144,0.00027059111127146636,0.0015604847334710348,0
rot1 GFN2 MD/normal modes,138,C60H58F14N2O10,144,0.00035982668340794503,0.002832112586751645,0
rot1 GFN2 MD/normal modes,139,C60H58F14N2O10,144,0.00030798842587276124,0.002537738078245866,0
rot1 GFN2 MD/normal modes,140,C60H58F14N2O10,144,0.00040217538933095095,0.002410434344258916,0
rot1 GFN2 MD/normal modes,141,C60H58F14N2O10,144,0.0002518606759497618,0.001686955447984806,0
rot1 GFN2 MD/normal modes,142,C60H58F14N2O10,144,0.00036871476475545104,0.0028450825225327936,0
rot1 GFN2 MD/normal modes,143,C60H58F14N2O10,144,0.0003115721959019181,0.002013372001165692,0
rot1 GFN2 MD/normal modes,144,C60H58F14N2O10,144,0.00026514263533342693,0.0013557555168421942,0
rot1 GFN2 MD/normal modes,145,C60H58F14N2O10,144,0.00022683568869743943,0.0014768958653739173,0
rot1 GFN2 MD/normal modes,146,C60H58F14N2O10,144,0.0002749798845966745,0.0013841200806833376,0
rot1 GFN2 MD/normal modes,147,C60H58F14N2O10,144,0.0003223761338450045,0.001980725797183558,0
rot1 GFN2 MD/normal modes,148,C60H58F14N2O10,144,0.00030683351309238976,0.0017441391182171362,0
rot1 GFN2 MD/normal modes,149,C60H58F14N2O10,144,0.0003414629290613401,0.0020253098032766426,0
rot1 GFN2 MD/normal modes,150,C60H58F14N2O10,144,0.00022448613209643392,0.0012579510118373438,0
rot1 GFN2 MD/normal modes,151,C60H58F14N2O10,144,0.0003662581569685081,0.003641895629137859,0
rot1 GFN2 MD/normal modes,152,C60H58F14N2O10,144,0.00027340179679096914,0.0017304689129048478,0
rot1 GFN2 MD/normal modes,153,C60H58F14N2O10,144,0.0002715826156288058,0.001536440469137812,0
rot1 GFN2 MD/normal modes,154,C60H58F14N2O10,144,0.00034341399394958387,0.0019662056455189703,0
rot1 GFN2 MD/normal modes,155,C60H58F14N2O10,144,0.00027759222723978884,0.0016712831745891998,0
rot1 GFN2 MD/normal modes,156,C60H58F14N2O10,144,0.00022488433360647736,0.001107525283303601,0
rot1 GFN2 MD/normal modes,157,C60H58F14N2O10,144,0.000367514156631333,0.0026124191746560443,0
rot1 GFN2 MD/normal modes,158,C60H58F14N2O10,144,0.0003316743044513316,0.0019102521188690824,0
rot1 GFN2 MD/normal modes,159,C60H58F14N2O10,144,0.0003566500666916769,0.0018508025876112777,0
rot1 GFN2 MD/normal modes,160,C60H58F14N2O10,144,0.00025916248086965536,0.0017160675873041376,0
rot1 GFN2 MD/normal modes,161,C60H58F14N2O10,144,0.00034055409062064203,0.002616964975431735,0
rot1 GFN2 MD/normal modes,162,C60H58F14N2O10,144,0.00033897564061616644,0.0025041118798826423,0
rot1 GFN2 MD/normal modes,163,C60H58F14N2O10,144,0.00039393956832616526,0.004799841207291933,0
rot1 GFN2 MD/normal modes,164,C60H58F14N2O10,144,0.000334350715923903,0.00310007227690412,0
rot1 GFN2 MD/normal modes,165,C60H58F14N2O10,144,0.0003474787523980249,0.0025478890005732335,0
rot1 GFN2 MD/normal modes,166,C60H58F14N2O10,144,0.0003658149768486388,0.0017231736825298327,0
rot1 GFN2 MD/normal modes,167,C60H58F14N2O10,144,0.0002466280101853845,0.0016921898163431148,0
rot1 GFN2 MD/normal modes,168,C60H58F14N2O10,144,0.00039406775759476416,0.004802312770947004,0
rot1 GFN2 MD/normal modes,169,C60H58F14N2O10,144,0.0002459340730558131,0.001268416549111362,0
rot1 GFN2 MD/normal modes,170,C60H58F14N2O10,144,0.00039394595487856715,0.004800136138157551,0
rot1 GFN2 MD/normal modes,171,C60H58F14N2O10,144,0.0002572300858946528,0.001416906915925109,0
rot1 GFN2 MD/normal modes,172,C60H58F14N2O10,144,0.0003040213412210198,0.0014198334780780586,0
rot1 GFN2 MD/normal modes,173,C60H58F14N2O10,144,0.0003345944010021456,0.0020376622422962898,0
rot1 GFN2 MD/normal modes,174,C60H58F14N2O10,144,0.00027345474081857946,0.0016676623933546963,0
rot1 GFN2 MD/normal modes,175,C60H58F14N2O10,144,0.00027297995109485214,0.0014585406275369195,0
rot1 GFN2 MD/normal modes,176,C60H58F14N2O10,144,0.00026949820299767494,0.0019495034787349041,0
rot1 GFN2 MD/normal modes,177,C60H58F14N2O10,144,0.00026433896762807156,0.0015385332975755839,0
rot1 GFN2 MD/normal modes,178,C60H58F14N2O10,144,0.0003349699693052045,0.0033561132815469463,0
rot1 GFN2 MD/normal modes,179,C60H58F14N2O10,144,0.00024898223656841787,0.0020254090789550983,0
rot1 GFN2 MD/normal modes,180,C60H58F14N2O10,144,0.00030153917818400805,0.0016130824093218976,0
rot1 GFN2 MD/normal modes,181,C60H58F14N2O10,144,0.0002461016968239775,0.0013050150120064163,0
rot1 GFN2 MD/normal modes,182,C60H58F14N2O10,144,0.0002878437403231714,0.0013810470641894002,0
rot1 GFN2 MD/normal modes,183,C60H58F14N2O10,144,0.00031419238091184853,0.0019185830160756145,0
rot1 GFN2 MD/normal modes,184,C60H58F14N2O10,144,0.0003940179815718635,0.004801725563872594,0
rot1 GFN2 MD/normal modes,185,C60H58F14N2O10,144,0.00033522517935578405,0.001923738285478982,0
rot1 GFN2 MD/normal modes,186,C60H58F14N2O10,144,0.00026106554443316304,0.001427434396907179,0
rot1 GFN2 MD/normal modes,187,C60H58F14N2O10,144,0.0003939728453392216,0.004800683950209161,0
rot1 GFN2 MD/normal modes,188,C60H58F14N2O10,144,0.00027541248470101424,0.0016081391452688054,0
rot1 GFN2 MD/normal modes,189,C60H58F14N2O10,144,0.0002207432489808075,0.0011087655635241278,0
rot1 GFN2 MD/normal modes,190,C60H58F14N2O10,144,0.0002529330731860914,0.001374166531496801,0
rot1 GFN2 MD/normal modes,191,C60H58F14N2O10,144,0.00027908153710882083,0.0015821319892962427,0
rot1 GFN2 MD/normal modes,192,C60H58F14N2O10,144,0.00026724158482020906,0.0012348860158295505,0
rot1 GFN2 MD/normal modes,193,C60H58F14N2O10,144,0.0002710822212497867,0.0015514445553652667,0
rot1 GFN2 MD/normal modes,194,C60H58F14N2O10,144,0.0002174538663778878,0.0008425137646199676,0
rot1 GFN2 MD/normal modes,195,C60H58F14N2O10,144,0.000286770606735635,0.001848100517963136,0
rot1 GFN2 MD/normal modes,196,C60H58F14N2O10,144,0.0003369108016096341,0.0017180937655549844,0
rot1 GFN2 MD/normal modes,197,C60H58F14N2O10,144,0.00039400532461526263,0.004801277040303642,0
rot1 GFN2 MD/normal modes,198,C60H58F14N2O10,144,0.00039365703994917456,0.004789449122330924,0
rot1 GFN2 MD/normal modes,199,C60H58F14N2O10,144,0.00039898185696981344,0.003060729639923876,0
rot1 GFN2 MD/normal modes,200,C60H58F14N2O10,144,0.000259289426920777,0.0017004892769627578,0
rot1 GFN2 MD/normal modes,201,C60H58F14N2O10,144,0.0003937832750344815,0.004796281899294708,0
rot1 GFN2 MD/normal modes,202,C60H58F14N2O10,144,0.000293536739952964,0.0020383669859590503,0
rot1 GFN2 MD/normal modes,203,C60H58F14N2O10,144,0.00032863539302898894,0.002262008780559155,0
rot1 GFN2 MD/normal modes,204,C60H58F14N2O10,144,0.00027473510500621257,0.0013225677809803882,0
rot1 GFN2 MD/normal modes,205,C60H58F14N2O10,144,0.0002585320382697257,0.0012673432134654439,0
rot1 GFN2 MD/normal modes,206,C60H58F14N2O10,144,0.00024602040159528053,0.001328635088760577,0
rot1 GFN2 MD/normal modes,207,C60H58F14N2O10,144,0.0003602154830653294,0.002349110700746948,0
rot1 GFN2 MD/normal modes,208,C60H58F14N2O10,144,0.00027434131890400243,0.0022266529425115644,0
rot1 GFN2 MD/normal modes,209,C60H58F14N2O10,144,0.0002520713083509562,0.0013478053045555827,0
rot1 GFN2 MD/normal modes,210,C60H58F14N2O10,144,0.00034181975548404586,0.0024053999684823246,0
rot1 GFN2 MD/normal modes,211,C60H58F14N2O10,144,0.0003192821119528839,0.0021003091660530826,0
rot1 GFN2 MD/normal modes,212,C60H58F14N2O10,144,0.0003352935852199516,0.0019593114943651235,0
rot1 GFN2 MD/normal modes,213,C60H58F14N2O10,144,0.00025796173411759334,0.0012922381789040038,0
rot1 GFN2 MD/normal modes,214,C60H58F14N2O10,144,0.00038077119304476194,0.001951321680514262,0
rot1 GFN2 MD/normal modes,215,C60H58F14N2O10,144,0.0002549570365566829,0.0011380045188812415,0
rot1 GFN2 MD/normal modes,216,C60H58F14N2O10,144,0.0003927159117689137,0.004845784926761798,0
rot1 GFN2 MD/normal modes,217,C60H58F14N2O10,144,0.0002660205018916235,0.0023050282791418075,0
rot1 GFN2 MD/normal modes,218,C60H58F14N2O10,144,0.00034849781933475984,0.0018851750210736595,0
rot1 GFN2 MD/normal modes,219,C60H58F14N2O10,144,0.00036437868171539643,0.006553711367246473,0
rot1 GFN2 MD/normal modes,220,C60H58F14N2O10,144,0.0002387011744859212,0.0011542042208586567,0
bench whole: dimer,0,C52H54F6N2O14,128,0.0009203037992149381,0.007092254271584442,0
bench whole: dimer,1,C52H54F6N2O14,128,0.0009095493458910944,0.007050287378581488,0
bench whole: dimer,2,C52H54F6N2O14,128,0.0009115352991085589,0.007318488266348622,0
bench whole: dimer,3,C52H54F6N2O14,128,0.000867560792381249,0.006796040170497175,0
bench whole: rod,0,C28H22F6N2O6,64,0.0008704165973461176,0.0070966162760740525,0
bench whole: rod,1,C28H22F6N2O6,64,0.0008665078062877595,0.0071091435211653176,0
bench whole: rod,2,C28H22F6N2O6,64,0.0008791210496735778,0.007318488266348733,0
bench whole: rod,3,C28H22F6N2O6,64,0.000860149499100309,0.007245525842892064,0
bench whole: wheel,0,C24H32O8,64,0.0006741417883597226,0.002412677842707822,0
bench whole: wheel,1,C24H32O8,64,0.0006879743678244819,0.0027643104976565747,0
bench whole: wheel,2,C24H32O8,64,0.0006623417831815148,0.00244411247140075,0
bench whole: wheel,3,C24H32O8,64,0.0006492504999281966,0.0024479403792131427,0
bench stacking: dimer,0,C16H17NO5,39,0.0019244686392042405,0.007931751572774814,0
bench stacking: dimer,1,C16H15F2NO5,39,0.001933790607619898,0.007847448677328561,0
bench stacking: dimer,2,C16H13F4NO5,39,0.002018224849047089,0.00784349609948265,0
bench stacking: dimer,3,C17H17F6NO2,43,0.001443390760599199,0.005924891593136805,0
bench stacking: dimer,4,C17H17F6NO2,43,0.0013864055049987638,0.006026344214286272,0
bench stacking: dimer,5,C14H11F5O3,33,0.002133327366255546,0.0059166240236181444,0
bench stacking: dimer,6,C14H11F5O3,33,0.002222149459127764,0.008256518725304529,0
bench stacking: rod,0,C8H7NO3,19,0.0015148989750263535,0.007949600042114535,0
bench stacking: rod,1,C8H5F2NO3,19,0.0015638775611937815,0.007876986651953133,0
